file,line,method,path,operation_id,owner,baseline_sha
services/dsh/contracts/dsh.administration.openapi.yaml,125,POST,/operator/admin/staff/{staffId}/roles,requestDshStaffRoleChange,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,156,GET,/operator/admin/approvals,listDshRoleAssignmentApprovals,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,176,POST,/operator/admin/approvals/{approvalId}/review,reviewDshStaffRoleChange,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,207,POST,/operator/admin/approvals/{approvalId}/rollback-requests,requestDshAdministrationDecisionRollback,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,243,GET,/operator/admin/rollback-requests,listDshAdministrationRollbackRequests,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,263,POST,/operator/admin/rollback-requests/{requestId}/review,reviewDshAdministrationDecisionRollback,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,294,GET,/operator/admin/diagnostics,getDshAdministrationDiagnostics,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,312,GET,/operator/admin/partners,listDshAdministrationPartnerActivationProjections,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,327,GET,/operator/admin/captains,listDshAdministrationCaptainCredentialProjections,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,342,GET,/operator/admin/audit,listDshAdministrationAudit,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,367,GET,/operator/admin/support-sessions,listDshAdministrationSupportSessionRequests,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,394,POST,/operator/admin/support-sessions,createDshAdministrationSupportSessionRequest,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,421,POST,/operator/admin/support-sessions/{requestId}/review,reviewDshAdministrationSupportSessionRequest,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,453,POST,/operator/admin/support-sessions/{requestId}/revoke,revokeDshAdministrationSupportSessionRequest,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.administration.openapi.yaml,479,GET,/operator/admin/support/snapshot,getDshAdministrationSupportSnapshot,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.analytics-extensions.openapi.yaml,29,GET,/dsh/operator/analytics/operations,getDshOperationsAnalytics,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.captain-financial-eligibility.openapi.yaml,15,GET,/dsh/operator/platform/dispatch-balance-policy,getDispatchBalancePolicy,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.captain-financial-eligibility.openapi.yaml,27,PUT,/dsh/operator/platform/dispatch-balance-policy,upsertDispatchBalancePolicy,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
services/dsh/contracts/dsh.captain-financial-eligibility.openapi.yaml,45,GET,/dsh/operator/dispatch/captains/{captainId}/financial-eligibility,getOperatorCaptainFinancialEligibility,dsh,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
