service,method,path,baseline_sha
DSH,POST,/dsh/field/partners/{partnerId}/documents,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId}/field-visits,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId}/readiness,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/partners/{partnerId}/store,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PATCH,/dsh/field/partners/{partnerId}/store,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/partners/{partnerId}/stores/{storeId}/assortment/batch,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PUT,/dsh/field/partners/{partnerId}/stores/{storeId}/assortment/{masterProductId},f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/partners/{partnerId}/submit,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/partners/{partnerId}/visits,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/stores/{storeId}/escalations,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/stores/{storeId}/verifications,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/stores/{storeId}/visits,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/stores/{storeId}/visits,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/visits/{visitId}/checks,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,PUT,/dsh/field/visits/{visitId}/checks,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,POST,/dsh/field/visits/{visitId}/complete,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/field/work-queue,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
DSH,GET,/dsh/health,f97dcbc3ecfbc19a130c4dbafef6cb7def9c3eb8
